smiles,energy_max_osc
O=C(N/N=C/c1c2ccccc2cc2ccccc12)C12CC3CC(CC(C3)C1)C2,3.393
[O-][n+]1ccnc2ccccc21,4.023
Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc(-c2ncccn2)cc1,3.991
CCCCOc1ccc(-c2oc3c(-c4ccc(OCCCC)cc4)c4n(c3c2-c2ccc(OCCCC)cc2)[B-](F)(F)[N+]2=Cc3c(-c5ccc(OCCCC)cc5)c5oc(-c6ccc(OCCCC)cc6)c(-c6ccc(OCCCC)cc6)c5n3[B-](F)(F)[N+]2=C4)cc1,2.59
COC(=O)c1ccc(-c2cc3ccc4cccc5ccc(c2)c3c45)cc1,3.841
CCCCCCC1(CCCCCC)c2cc(-c3ccncc3)sc2-c2cc(-c3ccc(N(c4ccc(-c5ccc(OCCCC)cc5OCCCC)cc4)c4ccc(-c5ccc(OCCCC)cc5OCCCC)cc4)cc3)sc21,3.647
CCCCC[N+]1=C(/C=C/C=C2\N(CCCCCC(=O)NC(CCCC(=O)ON3C(=O)CCC3=O)C(C)=O)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,3.023
COCCN(CCOC)C(=O)COC(=O)c1c2ccccc2cc2ccccc12,3.704
CCn1c(SCC(=O)N/N=C\c2c3ccccc3cc3ccccc23)nnc1-c1ccc(C(C)(C)C)cc1,3.586
CC(=O)c1c2c(cc3ccc(N4CCCCC4)cc13)CCC2,3.875
O=C1C(=O)N(CNc2ccccc2)c2ccccc21,3.49
O=C1C(O)=CC(=O)c2nc(-c3ccccc3)ncc21,3.515
CC[N+]1=C(/C=C/c2c(C)nn3c(-c4ccc(OC)cc4)ccnc23)C(C)(C)c2ccccc21,3.088
CSc1c(Cl)c(Cl)c(C(=O)O)c(-c2c3ccc(=[N+](C)C)cc-3oc3c4c5c(cc23)CCCCN5CCC4)c1Cl,3.015
O=C1C(=O)N(CN2CCN(c3ccccc3F)CC2)c2ccccc21,3.536
N#C/C(=C/c1ccc2c(c1)CC(c1ccc(N(c3ccccc3)c3cccc4ccccc34)cc1)=C2)C(=O)O,3.25
FS(F)(F)(F)(F)c1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,3.637
COc1cc2c(cc1OC)C1=C[C@H](c3ccccc3)C3(C(C#N)=C(C#N)N1CC2)c1cc(Br)ccc1-c1ccc(Br)cc13,4.29
O=c1c(-c2ccc(Br)cc2)coc2cc(O)ccc12,4.151
O=C(O)c1cc(C(=O)O)c(C(=O)O)c(C(=O)O)c1C(=O)O,4.824
CN1C(=CC2=C([O-])C(=Cc3oc4ccccc4[n+]3C)C2=C(C#N)C#N)Sc2ccccc21,2.281
Cc1ccc2c(c1Br)C(=O)C(=O)N2CN1CCN(C/C=C/c2ccccc2)CC1,3.472
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3ccc4cc(OC)ccc4c3)=C2)c1,3.719
C(=C(c1nnn[nH]1)c1nnn[nH]1)c1ccc(N(c2ccccc2)c2ccc(C=C(c3nnn[nH]3)c3nnn[nH]3)cc2)cc1,3.408
N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3nsnc23)cc1)C(=O)O,2.99
CC(=O)N1c2ccccc2C(=O)C1N(Cc1ccccc1)C(C)(C)C,3.632
CCCCC(CC)COC(=O)/C=C\c1cccc(OC)c1,4.562
CN(CCO)c1ccc(/C=C/C(=O)c2ccc(NC(=O)c3cc(Cl)cc(Cl)c3)cc2)cc1,3.798
COc1ccc2cc(C(C)=O)ccc2c1,4.005
O=C(COC(=O)CNC(=O)c1ccccc1F)Nc1ccc(N=Nc2ccccc2)cc1,3.829
CCCCCC1=C2C(C)=C(c3ccc(N(c4ccccc4)c4ccccc4)cc3)C(C)=[N+]2[B-](F)(F)n2c(C)c(-c3ccc(/C=C(\C#N)C(=O)O)o3)c(C)c21,2.824
O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(C=O)c4ccc1c2c43,3.008
CCOC(=O)CCCCC[N+]1=C(C)C(C)(CCCCCC(=O)O)c2cc(S(=O)(=O)O)ccc21,4.719
C#CCOc1ccc(/C=C/C2=[N+]3C(=C(c4ccccc4)c4c(C)cc(C)n4[B-]3(F)F)C(C)=C2)cc1,2.767
Cc1ccc(OCc2ccc(C(=O)N/N=C/c3c4ccccc4cc4ccccc34)cc2)cc1,3.353
Cn1c(N(N)C(=O)Nc2ccccc2)cc2ccccc21,4.956
CCCCCCCCCCc1ccccc1,5.405
COc1c(/C=N/Nc2ccc(C#N)cc2)ccc2ccccc12,3.96
CCOC(=O)NN=Cc1c2ccccc2c(Cl)c2ccccc12,3.331
O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(/N=N/c3ccccc3)cc1)C2=O,3.942
COC(=O)c1cc2c3ccccc3n(C)c2c(Cn2c(-c3nc(C(=O)OC)cc4c5ccccc5n(C)c34)nc3ccccc32)n1,3.963
O=C1C(=O)N(CN2CCN(Cc3cccs3)CC2)c2cccc(Br)c21,3.564
Brc1ccc(/C=N/c2ccc(/N=N/c3ccccc3)cc2)s1,3.46
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12,2.82
COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(OC)cc1/C=C/c1ccncc1,3.481
COc1ccc(C2=[N+]3C(=Nc4c(-c5ccc(N(C)C)cc5)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(c3ccc(N(C)C)cc3)=C2)cc1,2.159
c1ccc2c(c1)-c1cc3ccccc3c3cc4ccccc4c-2c13,3.836
Nc1cc([N+](=O)[O-])c(O)c2ccccc12,3.199
CCN(CC)C(=O)c1cccc(C)c1,5.211
Cc1ccc(N=Cc2ccccc2)cc1,4.047
COC(=O)CN1CCOCCN(CC(=O)C=O)c2cc(OCC(=O)OC(C)(C)C)c(C3c4ccc(N(C)C)cc4Oc4cc(N(C)C)ccc43)cc2OCCOc2cc(C)ccc21,3.501
CC(C)CN1C(=O)c2cccc3c(SCc4ccccc4)ccc(c23)C1=O,4.085
O=C(O)c1ccccc1/N=N/c1c(O)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])ccc12,3.199
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.584
CN1c2ccccc2Sc2cc(C=[N+]([O-])c3cccc(Br)c3)ccc21,3.633
COc1ccc(NC(=O)C(c2ccccc2)N(Cc2ccc(Cl)cc2)C(=O)CN2C(=O)C(=O)c3ccccc32)cc1,3.503
c1ccc2n[nH]nc2c1,5.127
N#Cc1c(-n2c3ccc(I)cc3c3cc(I)ccc32)c(-n2c3ccc(I)cc3c3cc(I)ccc32)c(C#N)c(-n2c3ccc(I)cc3c3cc(I)ccc32)c1-n1c2ccc(I)cc2c2cc(I)ccc21,3.309
CCOC(=O)c1c(-c2c(Cl)c3cc(C)ccc3oc2=O)nn(-c2cccc(Cl)c2)c1C(=O)OCC,4.322
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)C1=CC2=C(c3ccc(C(F)(F)F)cc3)c3cccn3[B-](F)(F)[N+]2=C1,3.214
CCN(CC)c1ccc2c(c1)Cc1c-2[o+]c2c3c4c(cc2c1-c1ccccc1C(=O)[O-])CCCN4CCC3,4.476
CCOC(=O)C1=C(C)N=c2s/c(=C\c3c4ccccc4cc4ccccc34)c(=O)n2C1c1cccc(OC)c1OCC,3.327
Cc1cc(-c2ccc(-c3ccccc3)cc2)nc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)n1,4.348
O=C(c1ccccc1)c1ccccc1Nc1c2ccccc2nc2ccccc12,3.442
O=C1[C@H]2[C@H]3C=C[C@H](C3)[C@H]2C(=O)N1c1ccc2cc3ccccc3cc2c1,3.793
Cc1ccc(/N=N\c2ccc(O)c(/C=N/NC(=O)Cc3ccccc3)c2)cc1C,2.676
Cc1ccc(CN/C=C2/Nc3ccc(Br)c(Cl)c3C2=O)cc1,3.522
CC(C)CSSCC(C)C,4.779
COC(=O)c1ccc(/C=C2\C=C(c3ccc([N+](=O)[O-])cc3)OC2=O)cc1,3.325
COc1ccc(C=NNC(=O)Cn2c3ccccc3c(=O)c3ccccc32)c(OC)c1,3.962
COC(=O)c1ccccc1C1=c2cc3c4c(c2Oc2c1ccc1cccc(N)c21)CCC[N+]=4CCC3,2.737
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3c4ccccc4c(-c4ccc(C=C(C#N)C(=O)O)cc4)c4nn(CCCCCC)nc34)cc2)cc1,2.944
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,4.365
COc1ccc(-c2nc(-c3ccc(/C=C(\C#N)C(=O)O)s3)n(C)c2-c2ccc(OC)cc2)cc1,3.098
CC1(C)c2ccccc2-c2ccc(N(c3ccc(-c4cc5c(s4)-c4sc(C=C(C#N)C(=O)O)cc4[Si]5(C)c4ccccc4)cc3)c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc21,2.802
O=C(c1ccccc1)N1CC(COc2ccccc2)OC(c2c3ccccc3cc3ccccc23)O1,3.725
O=C(COc1ccc2[nH]c3ccccc3c(=O)c2c1)Nc1ccc(Oc2ccccc2)cc1,3.976
CC(=O)CC(=O)c1ccc(-c2nc3ccccc3n2C)o1,3.983
CN1c2cc(O)ccc2-c2ccsc2C1(C)C,4.222
CC1(C)CCCN(CCCNc2cc3oc4ccccc4[nH]c3c3c(=O)c4ccccc4c(=O)c23)C1,2.635
CCn1c2cc(-c3ccc(-c4cccs4)s3)ccc2c2ccc(-c3ccc(-c4cccs4)s3)cc21,3.334
COc1ccccc1CN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,3.531
O=C(Cn1c2ccccc2c(=O)c2ccccc21)Nc1cccc(OC2CCCC2)c1,3.94
CCCc1ccc(-c2c3ccc(=[NH2+])cc-3oc3cc(N)ccc23)cc1,3.425
COc1ccccc1N1CCN(CN2C(=O)C(=O)c3ccccc32)CC1,3.529
O=C(Cn1c2ccccc2c(=O)c2ccccc21)Nc1ccc(-c2cc[nH]n2)cc1,3.941
Oc1ccc(N=Nc2nc3ccc(Cl)cc3s2)c2cccnc12,3.187
CC(=O)O[B-]1(OC(C)=O)OC(/C=C/c2ccc(C)cc2)=CC(/C=C/c2ccc(C)cc2)=[O+]1,3.38
CCCCN(CCCC)c1ccc2c(-c3ccccc3)c3ccc(=[NH2+])cc-3oc2c1,3.231
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,5.136
O=C(C(Oc1ccc2[nH]c3ccccc3c(=O)c2c1)c1ccccc1)N1CCCC1,3.913
O=C(Cn1c2ccccc2c(=O)c2ccccc21)NCCCc1nc2ccccc2[nH]1,3.931
CCCCCCCCN(CCCCCCCC)c1ccc(C2=C([O-])/C(=C/c3[se]c4ccccc4[n+]3CC(=O)O)C2=O)cc1,2.508
CC(=O)Nc1ccc([N+](=O)[O-])cc1N,3.901
O=C(Nc1ccc(/N=N/c2ccccc2)cc1)c1ccccc1Cl,3.803
Oc1ccc(N=Nc2nc(-c3ccccc3)cs2)c2cccnc12,3.198
CCCN1CCCc2cc(/N=N/c3ccc(C(F)(F)F)cc3)ccc21,3.512
N#C/C(=C\c1ccc(-c2cc3cc(-c4ccc(N5c6ccccc6C6C7CCC(C7)C65)cc4)sc3s2)s1)C(=O)O,3.135
CCN(CC)c1ccc2c(O)c(/C=C/C=C/C3=[N+](CCCCCC(=O)O)c4ccc(S(=O)(=O)O)cc4C3(C)C)c(=O)oc2c1,2.518
COc1cc2c3c(c1)C(CN1CCN(C(=O)C4COc5ccccc5O4)CC1)=CC(C)(C)N3C(=O)C2=O,3.016
Cc1cc(C)n(-c2ccc(C(=O)Nc3ccc(N=Nc4ccccc4)cc3)cc2)n1,3.794
COc1ccc(OCC(=O)N/N=C/c2c3ccccc3cc3ccccc23)c(Br)c1,3.346
CN1c2ccccc2Sc2cc3ccccc3c(/C=C/c3ccc(-c4ccc(/C=C(\C#N)C(=O)O)s4)s3)c21,2.788
COc1ccc(CCC2CCN(CN3C(=O)C(=O)c4ccccc43)CC2)cc1,3.52
COc1ccc2c(c1F)NC(=O)C2=O,3.684
O=[N+]([O-])c1ccccc1Cl,3.907
CN(C)c1ccc(C(=O)c2ccccc2)cc1,3.919
CCCCCN1CCN(c2ccc(/N=N/c3ccc(-c4cnc(OCCCC)nc4)cc3)cc2)CC1,3.457
Cc1cc(OCCO)c(C)cc1C=Cc1ccc([N+](=O)[O-])cc1,3.716
CN(CC(=O)N1c2ccccc2C(=O)C1(C)C)S(C)(=O)=O,3.962
CCCCCCc1cc(-c2sc(-c3cc4c(s3)c3ccccc3n4CC)cc2CCCCCC)sc1/C=C(\C#N)C(=O)O,2.689
Cc1ccccc1OCCCN1C(=O)C(=O)c2cc([N+](=O)[O-])ccc21,3.489
O=C(CCC(=O)Nc1ccc(Cl)cc1Cl)N/N=C/c1c2ccccc2cc2ccccc12,3.383
N#C/C(=C/c1c2ccccc2cc2ccccc12)C(=O)Nc1ccc2ccccc2c1,3.327
CC(C)(C)c1cc(/C2=C3\C=CC(=N3)/C(C#Cc3cccc4ccccc34)=c3/cc/c4n3[Zn]n3c(ccc32)/C(C#Cc2ccc(C(=O)O)cc2)=C2/C=CC(=N2)\C=4c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc(C(C)(C)C)c1,3.386
CCCCCCN1c2ccc(C#Cc3ccc(-c4ccc(C#Cc5ccc6c(c5)Sc5cc(/C=C(/C#N)C(=O)O)ccc5N6CCCCCC)cc4)cc3)cc2Sc2cc(/C=C(/C#N)C(=O)O)ccc21,3.833
