ANCHORING_GROUP;PEAK_ABSORPTION_SOLUTION;DONOR;STRUCTURE;PEAK_ABSORPTION_METAL_OXIDE;METAL_OXIDE;SOLVENT;AGGREGATION;DOI
cyanoacrylic,carboxylic;405;triphenylamine;CCCCCCOc1cc(/C=C(\C(=O)O)/C#N)c(cc1n1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)c1ccccc1)OCCCCCC;405;TiO2;1,4-dioxane;UNCHANGED;10.1016/j.dyepig.2011.11.008
cyanoacrylic,carboxylic;348;triphenylamine;CCCCCCOc1cc(/C=C(\C(=O)O)/C#N)c(cc1n1nnc(c1)c1ccc(cc1)N(c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)c1ccc(cc1)c1nnn(c1)c1cc(OCCCCCC)c(cc1OCCCCCC)/C=C(\C(=O)O)/C#N)OCCCCCC;419;TiO2;1,4-dioxane;BATHOCHROMIC;10.1016/j.dyepig.2011.11.008
carboxylic;375;triphenylamine,carbazole;OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)c1ccncc1)N(c1ccccc1)c1ccccc1;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1002/chem.201101923
carboxylic;396;triphenylamine,carbazole;OC(=O)CCCCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1ccncc1;436;TiO2;1,4-dioxane;BATHOCHROMIC;10.1002/chem.201101923
carboxylic;384;triphenylamine,carbazole;O=Cc1ccc(cc1)c1ccc2c(c1)n(CCCCCCC(=O)O)c1c2ccc(c1)N(c1ccccc1)c1ccccc1;394;TiO2;1,4-dioxane;UNCHANGED;10.1039/C3NJ00430A
aldehyde;384;triphenylamine,carbazole;CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C=O;410;TiO2;1,4-dioxane;BATHOCHROMIC;10.1039/C3NJ00430A
cyanoacrylic,carboxylic;428;carbazole;N#CC(=Cc1cc2c(s1)c1c(s2)cc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)OC)C(=O)O;450;TiO2;1,4-dioxane;BATHOCHROMIC;10.1016/j.tet.2013.02.058
cyanoacrylic,carboxylic;481;indoline;N#CC(=Cc1cc2c(s1)c1c(s2)cc(s1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)C)C(=O)O;460;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.tet.2013.02.058
cyanoacrylic,carboxylic;485;indoline;N#CC(=Cc1cc2c(s1)c1c(s2)cc(s1)c1ccc2c(c1)C1CCCC1N2c1ccc(cc1)OC)C(=O)O;470;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.tet.2013.02.058
pyridine;396;triphenylamine,carbazole;CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cccnc1;400;TiO2;1,4-dioxane;UNCHANGED;10.1002/ejoc.201500341
pyridine;388;triphenylamine,carbazole;CCCCn1c2cc(ccc2c2c1cc(cc2)N(c1ccccc1)c1ccccc1)c1ccc(s1)c1cncc(c1)c1ccc(s1)c1ccc2c(c1)n(CCCC)c1c2ccc(c1)N(c1ccccc1)c1ccccc1;400;TiO2;1,4-dioxane;BATHOCHROMIC;10.1002/ejoc.201500341
pyridine;673;bodipy,triphenylamine,carbazole;CCCCn1c2cc(ccc2c2c1cc(cc2)c1ccc(s1)C1=C2C=CC(=[N+]2[B-](n2c1ccc2c1ccc(s1)c1ccncc1)(F)F)c1ccc(s1)c1ccncc1)N(c1ccccc1)c1ccccc1;650;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1039/C3NJ00456B
pyridine;443;triphenylamine;CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)[Si](c1c2sc(c1)c1ccncc1)(CC(CCCC)CC)CC(CCCC)CC;439;TiO2;1,4-dioxane;UNCHANGED;10.1039/C9DT02600B
pyridine;440;triphenylamine;CCCCCCOc1ccc(cc1)N(c1ccc(cc1)OCCCCCC)c1ccc(cc1)c1sc2c(c1)[Ge](c1c2sc(c1)c1ccncc1)(CC(CCCC)CC)CC(CCCC)CC;439;TiO2;1,4-dioxane;UNCHANGED;10.1039/C9DT02600B
carboxylic,rhodanine;471;misc;CCN(c1ccc(c(c1)O)/C=C/1\SC(=S)N(C1=O)CC(=O)O)CC;400;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;476;misc;CCCCCCOc1cc(ccc1/C=C/1\SC(=S)N(C1=O)CC(=O)O)N(CC)CC;400;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;542;misc;CCCCCCOc1cc(ccc1/C=C(/c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)\C#N)N(CC)CC;400;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
carboxylic,rhodanine;552;misc;CCCCCCOc1cc(ccc1/C=C/c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC(=O)O)N(CC)CC;400;TiO2;1,4-dioxane;HYPSOCHROMIC;10.1016/j.dyepig.2019.02.045
