smiles,energy_max_osc
CCC1=C(C)c2cc3[nH]c(cc4nc(c5c6[nH]c(cc1n2)c(C)c6C(=O)C5)[C@@H](CCC(=O)OC)[C@@H]4C)c(C)c3/C=C/[N+](=O)[O-],3.638
O=C(c1cccc2c(=O)c3ccccc3[nH]c12)N1CCCn2cncc2C1,3.887
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1ccccc1Cl,3.865
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1,4.009
COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1Cl,3.968
CCCCCCCc1ccc(C2=[N+]3C(=C4c5cc(OCC(CC)CC)c(-c6ccc(CCCCCCC)o6)n5[B-](F)(F)[n+]5nnn(c54)[B-]3(F)F)C=C2OCC(CC)CC)o1,2.023
O=C(O)c1cc(C(=O)O)cc(N2C(=O)C(=Cc3c4ccccc4cc4ccccc34)SC2=S)c1,3.203
Cc1ccccc1N1C(=O)/C(=C/c2c3ccccc3cc3ccccc23)SC1=S,3.254
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccccc1,3.239
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccccc1F,3.251
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1cccc(C(F)(F)F)c1,3.198
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1cccc(Cl)c1,3.219
O=C1/C(=C\c2c3ccccc3cc3ccccc23)SC(=S)N1c1cccc(Cl)c1,3.007
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1cccc(F)c1,3.219
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccc(Cl)cc1,3.222
O=C1/C(=C\c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccc(Cl)cc1,3.018
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccc(F)cc1,3.229
O=C1/C(=C/c2c3ccccc3cc3ccccc23)SC(=S)N1c1ccc([N+](=O)[O-])cc1,3.173
COc1ccc(N2C(=O)/C(=C/c3c4ccccc4cc4ccccc34)SC2=S)cc1,3.255
COc1ccc(N2C(=O)/C(=C\c3c4ccccc4cc4ccccc34)SC2=S)cc1,3.069
O=C(O)c1ccc(N2C(=O)/C(=C/c3c4ccccc4cc4ccccc34)SC2=S)cc1,3.208
O=C(O)c1ccc(N2C(=O)C(=Cc3c4ccccc4cc4ccccc34)SC2=S)cc1,3.211
Cc1ccc(N2C(=O)/C(=C/c3c4ccccc4cc4ccccc34)SC2=S)cc1,3.252
Cc1ccc(N2C(=O)/C(=C\c3c4ccccc4cc4ccccc34)SC2=S)cc1,3.064
Cc1ccc(N2C(=O)C(=Cc3c4ccccc4cc4ccccc34)SC2=S)cc1,3.25
Cc1ccc(N2C(=O)/C(=C/c3c4ccccc4cc4ccccc34)SC2=S)cc1C,3.255
Cc1ccc(N2C(=O)/C(=C/c3c4ccccc4cc4ccccc34)SC2=S)cc1Cl,3.225
CCCN1C(=O)c2cccc3c(N=Nc4c(O)ccc5cc(S(=O)(=O)O)ccc45)ccc(c23)C1=O,3.066
CCCCOc1c(C=C2N(C)c3ccccc3C2(C)C)c(=O)c1=S,3.327
CCCCCCCCN1c2ccc(-c3ccccc3)cc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,3.169
CCCCCCN1c2ccc(-c3ccccc3)cc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,3.014
CCCCCCN1c2ccc(-c3ccc(OC)cc3)cc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,3.056
CCCCCCCCN1c2ccc(-c3ccc(OC)cc3)cc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,3.053
CCCCCCN1c2ccc(-c3ccc(SC)cc3)cc2Sc2cc(-c3ccc(/C=C(\C#N)C(=O)O)s3)ccc21,3.175
CCCCCCN1c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc2Sc2cc(-c3ccccc3OC)ccc21,3.023
CCCCCCN1c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc2Sc2cc(-c3cccc(OC)c3OC)ccc21,3.004
CCCCCCN1c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc2Sc2cc(-c3ccc(OC)cc3OC)ccc21,2.998
C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)=C\c1ccncc1,3.505
CCN1C(=CC=CC=CC=Cc2sc3ccccc3[n+]2CC)Sc2ccccc21,2.328
C=C1C(=C)C2C=CC1C2,5.758
CN(C)C(=O)SCC[n+]1ccc2c(c1)CCC/C2=C\c1ccc(N2CCC(O)CC2)cc1,2.994
CCOC(=O)/C(OC)=C1/NC(=O)NC1=O,4.403
CCC1(CC)c2cc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(/C=C/c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc21,3.254
CN(C)c1ccc(/C=C/C=C2\CC/C(=C\C=C\c3ccc(N(C)C)cc3)C2=O)cc1,3.128
N#Cc1c(-n2nnc3c2-c2ccccc2CN(C(=O)CCN)c2ccccc2-3)n([C@H]2C[C@H](O)[C@@H](CO)O2)c2ncnc(N)c12,4.637
O=C(Cn1c2ccccc2c(=O)c2ccccc21)N/N=C/c1cccc(OCc2ccccc2Cl)c1,3.94
O=C(Cn1c2ccccc2c(=O)c2ccccc21)N/N=C/c1cccc(OCc2ccc(Cl)cc2Cl)c1,3.959
O=C(Cn1c2ccccc2c(=O)c2ccccc21)N/N=C/c1cccc(OCc2ccc([N+](=O)[O-])cc2)c1,3.926
CC1=CC(C)N2C1=C(c1ccc(Nc3nc(Nc4ccc(C5=C6C(C)=CC(C)N6[B-](F)(F)[N+]6=C5C(C)=CC6C)cc4)nc(Nc4ccc(-c5c6nc(c(-c7cc(C)c(C)cc7C)c7ccc([nH]7)c(-c7ccc(C(=O)O)cc7)c7nc(c(-c8c(C)cc(C)cc8C)c8ccc5[nH]8)C=C7)C=C6)cc4)n3)cc1)C1=[N+](C(C)C=C1C)[B-]2(F)F,3.614
CCCCCCOc1cc(-n2cc(-c3ccc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)nn2)c(OCCCCCC)cc1C=C(C#N)C(=O)O,3.251
O=C(O)c1ccc(-c2c3ccc4cc(O)ccc4c3oc3c2ccc2cc(=O)ccc23)c(C(=O)O)c1,2.763
O=C(NC(=S)Nc1cccc2cc3ccccc3cc12)c1ccccc1,3.639
O=C(NN=Cc1c2ccccc2cc2ccccc12)c1cccc(S(=O)(=O)Nc2ccccc2Cl)c1,3.33
O=C(CCCn1c2ccccc2c(=O)c2ccccc21)Nc1ccc(Oc2ccc(Cl)cc2)cc1,3.964
Cc1ccc2c(c1)c(=O)c1ccccc1n2CCCC(=O)Nc1ccc(Oc2ccccc2)cc1,3.95
Cc1ccc2c(c1)c(=O)c1ccccc1n2CCCC(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,3.95
CC(=O)OCOC(=O)CN1CCOCCN(CC(=O)OCOC(C)=O)c2ccc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.203
CC(=O)OCOC(=O)COc1cc2c(cc1-c1c3ccc(=[N+](C)C)cc-3oc3cc(N(C)C)ccc13)OCCOc1cc(C)ccc1N(CC(=O)OCOC(C)=O)CCOCCN2CC(=O)OCOC(C)=O,3.191
COC(=O)CN1CCOCCN(CC(=O)C=O)c2cc(OCC(=O)[O-])c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.227
COC(=O)CN1CCOCCN(CC(=O)C=O)c2cc(OCC(=O)OC(C)(C)C)c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.155
COC(=O)CN1CCOCCN(CC(=O)OC)c2ccc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.208
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(N)=O)CCOCCN2CC(N)=O,3.197
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(=O)N(CC(=O)O)CC(=O)O)CCOCCN2CC(=O)N(CC(=O)O)CC(=O)O,3.222
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(=O)N(CC(=O)O)CC(=O)O)CCOCCN2C(=O)CN(CC(=O)O)CC(=O)O,3.222
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(=O)[O-])CCOCCN2CC(=O)[O-],2.188
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(=O)O)CCOCCN2CC(=O)O,3.199
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)ccc1N(CC(=O)O[K])CCOCCN2CC(=O)[O-],3.263
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)c(OCC(=O)O)cc1N(CC(=O)O)CCOCCN2CC(=O)O,3.162
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)c(OCC(=O)[O-])cc1N(CC(=O)O[K])CCOCCN2CC(=O)O[K],3.351
Cc1ccc2c(c1)OCCOc1cc(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)c(OCC(=O)O[K])cc1N(CC(=O)O[K])CCOCCN2CC(=O)O[K],3.21
COC(=O)CN1CCOCCN(CC(=O)OC)c2cc(OCC(=O)NCCCCCC(=O)[O-])c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,2.746
COC(=O)CN1CCOCCN(CC(=O)OC)c2cc(OCC(=O)NC(CC(=O)[O-])C(=O)[O-])c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.307
COC(=O)CN1CCOCCN(CC(=O)OC)c2cc(OCC(=O)[O-])c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.182
COC(=O)CN1CCOCCN(CC(=O)OC)c2cc(OCC(=O)OCOC(C)=O)c(-c3c4ccc(=[N+](C)C)cc-4oc4cc(N(C)C)ccc34)cc2OCCOc2cc(C)ccc21,3.12
CNC(=O)COc1cc2c(cc1-c1c3ccc(=[N+](C)C)cc-3oc3cc(N(C)C)ccc13)OCCOc1cc(C)ccc1N(CC(=O)OC)CCOCCN2CC(=O)OC,3.186
CCCCCCCCCCCCCCCCCCNC(=O)COc1cc2c(cc1-c1c3ccc(=[N+](C)C)cc-3oc3cc(N(C)C)ccc13)OCCOc1cc(C)ccc1N(CC(=O)OC)CCOCCN2CC(=O)OC,3.11
CCCc1c(-c2sc(-c3ccc(N(c4ccc(OC)cc4)c4ccc5c(c4)C(CCC)(CCC)c4c6c(c7c(c4-5)C(CCC)(CCC)c4ccccc4-7)C(CCC)(CCC)c4ccccc4-6)cc3)c3c2OCCO3)sc2cc(C=C(C#N)C(=O)O)sc12,2.745
COc1cc(-c2cc(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)c(OC)cc1-c1ccc(N(C)C)cc1,4.173
CN(C)c1ccc(-c2ccc(-c3cc(-c4ccccc4)c(-c4ccccc4)c(-c4ccccc4)c3-c3ccccc3)cc2)cc1,4.41
c1ccc2c(c1)NCCOCCOc1ccccc1OCCO2,4.95
Cc1cc2cccc3cnc1n32,3.507
N#CC1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,2.699
FC(F)(F)C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,2.822
CC[N+]1=C(C=CC=CC=C2N(CCCCCC(=O)ON3C(=O)CCC3=O)c3ccc4c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc4c3C2(C)C)C(C)(C)c2c1ccc1c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc21,2.222
O=C(Nc1cccc2c1C(=O)C1C=CC=CC1C2=O)c1cccc2c1C(=O)c1ccccc1-2,3.521
O=C(O)CN1C(=O)/C(=C/c2ccc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4c3OCCO4)s2)SC1=S,2.661
CCCCCCSC1=C(SCCCCCC)SC(=C(C(=C2SC(SCCCCCC)=C(SCCCCCC)S2)c2ccc(-c3ccc(-c4ccncc4)s3)cc2)c2ccc(-c3ccc(-c4ccncc4)s3)cc2)S1,3.435
c1ccc2c(c1)-c1cc3nc(nc4[n-]c(nc5[n-]c(nc-2n1)c1ccccc51)c1ccccc41)-c1ccccc1-3,3.097
F[B-]1(F)Oc2ccccc2-c2cc(-n3c4ccccc4c4ccccc43)cc[n+]21,3.991
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc[n+]2c(c1)-c1ccccc1O[B-]2(F)F,3.991
c1ccc(Sc2ccccc2)cc1,4.853
O=[N+]([O-])c1ccc(Sc2ccccc2)cc1,3.937
Cc1ccccc1Sc1ccccc1,4.97
O=[N+]([O-])c1ccccc1Sc1ccccc1,3.988
COC(=O)CCN(CCNc1ccc2c3n(c(=O)c4cccc1c42)CCN=3)CCC(=O)OC,3.63
CCCCCCN1c2ccc(-c3scc4c3OCCO4)cc2Sc2cc(-c3sc(C=C(C#N)C(=O)O)c4c3OCCO4)ccc21,3.037
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c(-c4ccccc4)c4c5ccc6c7c(ccc(c(-c8ccccc8)c4c4ccc(c2c34)C1=O)c75)C(=O)N(c1c(C(C)C)cccc1C(C)C)C6=O,2.284
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc3c(-c4ccc(C(=O)O)cc4)c4c5ccc6c7c(ccc(c(-c8ccc(C(=O)O)cc8)c4c4ccc(c2c34)C1=O)c75)C(=O)N(c1c(C(C)C)cccc1C(C)C)C6=O,2.301
O[C@H]1C=Cc2c(cc3ccc4c5ccccc5cc5ccc2c3c54)[C@@H]1O,3.518
CCCCCCCCCCC1(CCCCCCCC)C(/C=C2/C(=O)C(/C=C3\N(C)c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)cc4C3(C)C)=C2[O-])=[N+](CCCCCC)c2ccccc21,2.298
CCCCCCCCCCCC[N+]1=C(/C=C2/C(=O)C(/C=C3\N(C)c4ccc(-c5ccc(/C=C(\C#N)C(=O)O)s5)cc4C3(C)C)=C2[O-])[C@@](CCCCCCCC)(CCCCCCCCCC)c2ccccc21,2.239
CCCCCCCCCCCC[N+]1=C(/C=C2/C(=O)C(/C=C3\N(C)c4ccc(-c5ccc(C=C(C#N)C(=O)O)s5)cc4C3(C)C)=C2[O-])C(CCCCCCCC)(CCCCCCCCCC)c2ccccc21,2.317
CCCCCCCCCC[C@@]1(CCCCCCCC)/C(=C\C2=C([O-])/C(=C\C3=[N+](C)c4ccccc4C3(C)C)C2=O)N(CCCCCC)c2ccc(-c3ccc(/C=C(\C#N)C(=O)O)s3)cc21,2.33
